Function,Dimension,Algorithm,Cores,File Type,Execution Time (s)
F1,256,GWO,2,parallel,10.410074
F1,256,GWO,2,hybrid,10.428689
F1,256,GWO,4,parallel,3.807738
F1,256,GWO,4,hybrid,3.834034
F1,256,GWO,8,parallel,1.576727
F1,256,GWO,8,hybrid,1.611943
F1,256,GWO,16,parallel,0.814123
F1,256,GWO,16,hybrid,0.806892
F1,256,GWO,32,parallel,0.572863
F1,256,GWO,32,hybrid,0.544874
F1,256,GWO,64,parallel,0.864169
F1,256,GWO,64,hybrid,0.782003
F1,256,HGT-GWO,2,parallel,7.580931
F1,256,HGT-GWO,2,hybrid,7.773038
F1,256,HGT-GWO,4,parallel,2.38463
F1,256,HGT-GWO,4,hybrid,2.525108
F1,256,HGT-GWO,8,parallel,0.884846
F1,256,HGT-GWO,8,hybrid,0.918876
F1,256,HGT-GWO,16,parallel,0.431162
F1,256,HGT-GWO,16,hybrid,0.448799
F1,256,HGT-GWO,32,parallel,0.373905
F1,256,HGT-GWO,32,hybrid,0.384809
F1,256,HGT-GWO,64,parallel,0.710543
F1,256,HGT-GWO,64,hybrid,0.755859
F1,512,GWO,2,parallel,15.268615
F1,512,GWO,2,hybrid,15.302218
F1,512,GWO,4,parallel,6.241877
F1,512,GWO,4,hybrid,6.438577
F1,512,GWO,8,parallel,2.786531
F1,512,GWO,8,hybrid,2.892472
F1,512,GWO,16,parallel,1.244341
F1,512,GWO,16,hybrid,1.244537
F1,512,GWO,32,parallel,0.793928
F1,512,GWO,32,hybrid,0.793517
F1,512,GWO,64,parallel,0.374372
F1,512,GWO,64,hybrid,0.351083
F1,512,HGT-GWO,2,parallel,9.700143
F1,512,HGT-GWO,2,hybrid,9.965764
F1,512,HGT-GWO,4,parallel,3.437351
F1,512,HGT-GWO,4,hybrid,3.68874
F1,512,HGT-GWO,8,parallel,1.450439
F1,512,HGT-GWO,8,hybrid,1.510482
F1,512,HGT-GWO,16,parallel,0.631534
F1,512,HGT-GWO,16,hybrid,0.643586
F1,512,HGT-GWO,32,parallel,0.389456
F1,512,HGT-GWO,32,hybrid,0.426273
F1,512,HGT-GWO,64,parallel,0.2069
F1,512,HGT-GWO,64,hybrid,0.206977
F1,1024,GWO,2,parallel,22.473335
F1,1024,GWO,2,hybrid,22.869576
F1,1024,GWO,4,parallel,10.031011
F1,1024,GWO,4,hybrid,10.18891
F1,1024,GWO,8,parallel,4.735639
F1,1024,GWO,8,hybrid,4.855596
F1,1024,GWO,16,parallel,2.259033
F1,1024,GWO,16,hybrid,2.314966
F1,1024,GWO,32,parallel,1.287646
F1,1024,GWO,32,hybrid,1.285386
F1,1024,GWO,64,parallel,0.695313
F1,1024,GWO,64,hybrid,0.671905
F1,1024,HGT-GWO,2,parallel,12.801181
F1,1024,HGT-GWO,2,hybrid,13.057855
F1,1024,HGT-GWO,4,parallel,5.076704
F1,1024,HGT-GWO,4,hybrid,5.402549
F1,1024,HGT-GWO,8,parallel,2.291778
F1,1024,HGT-GWO,8,hybrid,2.487788
F1,1024,HGT-GWO,16,parallel,1.141982
F1,1024,HGT-GWO,16,hybrid,1.162514
F1,1024,HGT-GWO,32,parallel,0.656957
F1,1024,HGT-GWO,32,hybrid,0.680007
F1,1024,HGT-GWO,64,parallel,0.395451
F1,1024,HGT-GWO,64,hybrid,0.399642
F2,256,GWO,2,parallel,10.525601
F2,256,GWO,2,hybrid,10.516675
F2,256,GWO,4,parallel,3.853885
F2,256,GWO,4,hybrid,3.906179
F2,256,GWO,8,parallel,1.603778
F2,256,GWO,8,hybrid,1.702744
F2,256,GWO,16,parallel,0.82691
F2,256,GWO,16,hybrid,0.815965
F2,256,GWO,32,parallel,0.591251
F2,256,GWO,32,hybrid,0.564295
F2,256,GWO,64,parallel,0.91548
F2,256,GWO,64,hybrid,0.846621
F2,256,HGT-GWO,2,parallel,7.534732
F2,256,HGT-GWO,2,hybrid,7.670107
F2,256,HGT-GWO,4,parallel,2.39746
F2,256,HGT-GWO,4,hybrid,2.518654
F2,256,HGT-GWO,8,parallel,0.909539
F2,256,HGT-GWO,8,hybrid,0.906046
F2,256,HGT-GWO,16,parallel,0.438213
F2,256,HGT-GWO,16,hybrid,0.459357
F2,256,HGT-GWO,32,parallel,0.382128
F2,256,HGT-GWO,32,hybrid,0.409281
F2,256,HGT-GWO,64,parallel,0.81877
F2,256,HGT-GWO,64,hybrid,0.859763
F2,512,GWO,2,parallel,10.122183
F2,512,GWO,2,hybrid,10.226645
F2,512,GWO,4,parallel,5.089456
F2,512,GWO,4,hybrid,5.191865
F2,512,GWO,8,parallel,2.745271
F2,512,GWO,8,hybrid,2.631491
F2,512,GWO,16,parallel,1.205827
F2,512,GWO,16,hybrid,1.190637
F2,512,GWO,32,parallel,0.776987
F2,512,GWO,32,hybrid,0.775185
F2,512,GWO,64,parallel,0.378371
F2,512,GWO,64,hybrid,0.351582
F2,512,HGT-GWO,2,parallel,9.226658
F2,512,HGT-GWO,2,hybrid,9.522084
F2,512,HGT-GWO,4,parallel,3.393405
F2,512,HGT-GWO,4,hybrid,3.624657
F2,512,HGT-GWO,8,parallel,1.40689
F2,512,HGT-GWO,8,hybrid,1.505408
F2,512,HGT-GWO,16,parallel,0.631951
F2,512,HGT-GWO,16,hybrid,0.640926
F2,512,HGT-GWO,32,parallel,0.409791
F2,512,HGT-GWO,32,hybrid,0.42638
F2,512,HGT-GWO,64,parallel,0.209272
F2,512,HGT-GWO,64,hybrid,0.209347
F2,1024,GWO,2,parallel,17.958544
F2,1024,GWO,2,hybrid,18.096328
F2,1024,GWO,4,parallel,9.002167
F2,1024,GWO,4,hybrid,9.152955
F2,1024,GWO,8,parallel,4.602048
F2,1024,GWO,8,hybrid,4.609042
F2,1024,GWO,16,parallel,2.240243
F2,1024,GWO,16,hybrid,2.265431
F2,1024,GWO,32,parallel,1.279204
F2,1024,GWO,32,hybrid,1.277025
F2,1024,GWO,64,parallel,0.745165
F2,1024,GWO,64,hybrid,0.695277
F2,1024,HGT-GWO,2,parallel,12.133931
F2,1024,HGT-GWO,2,hybrid,12.507305
F2,1024,HGT-GWO,4,parallel,5.032938
F2,1024,HGT-GWO,4,hybrid,5.3201
F2,1024,HGT-GWO,8,parallel,2.276453
F2,1024,HGT-GWO,8,hybrid,2.462798
F2,1024,HGT-GWO,16,parallel,1.1172
F2,1024,HGT-GWO,16,hybrid,1.198216
F2,1024,HGT-GWO,32,parallel,0.66013
F2,1024,HGT-GWO,32,hybrid,0.674167
F2,1024,HGT-GWO,64,parallel,0.410027
F2,1024,HGT-GWO,64,hybrid,0.411545
F3,256,GWO,2,parallel,33.083512
F3,256,GWO,2,hybrid,33.222877
F3,256,GWO,4,parallel,15.099488
F3,256,GWO,4,hybrid,15.218527
F3,256,GWO,8,parallel,7.560621
F3,256,GWO,8,hybrid,7.354116
F3,256,GWO,16,parallel,3.95121
F3,256,GWO,16,hybrid,3.889077
F3,256,GWO,32,parallel,2.286819
F3,256,GWO,32,hybrid,2.21781
F3,256,GWO,64,parallel,1.74415
F3,256,GWO,64,hybrid,1.60693
F3,256,HGT-GWO,2,parallel,30.296403
F3,256,HGT-GWO,2,hybrid,30.414875
F3,256,HGT-GWO,4,parallel,13.717109
F3,256,HGT-GWO,4,hybrid,13.951333
F3,256,HGT-GWO,8,parallel,6.725234
F3,256,HGT-GWO,8,hybrid,6.642556
F3,256,HGT-GWO,16,parallel,3.559515
F3,256,HGT-GWO,16,hybrid,3.601568
F3,256,HGT-GWO,32,parallel,2.036571
F3,256,HGT-GWO,32,hybrid,2.082829
F3,256,HGT-GWO,64,parallel,1.5242
F3,256,HGT-GWO,64,hybrid,1.583471
F3,512,GWO,2,parallel,107.071621
F3,512,GWO,2,hybrid,107.047077
F3,512,GWO,4,parallel,52.091948
F3,512,GWO,4,hybrid,52.31003
F3,512,GWO,8,parallel,26.29898
F3,512,GWO,8,hybrid,26.907776
F3,512,GWO,16,parallel,11.952692
F3,512,GWO,16,hybrid,11.919582
F3,512,GWO,32,parallel,7.538732
F3,512,GWO,32,hybrid,7.46979
F3,512,GWO,64,parallel,3.347638
F3,512,GWO,64,hybrid,3.212663
F3,512,HGT-GWO,2,parallel,101.444448
F3,512,HGT-GWO,2,hybrid,101.45121
F3,512,HGT-GWO,4,parallel,49.341703
F3,512,HGT-GWO,4,hybrid,49.676161
F3,512,HGT-GWO,8,parallel,25.803844
F3,512,HGT-GWO,8,hybrid,24.880113
F3,512,HGT-GWO,16,parallel,11.311836
F3,512,HGT-GWO,16,hybrid,11.429599
F3,512,HGT-GWO,32,parallel,7.088726
F3,512,HGT-GWO,32,hybrid,7.122405
F3,512,HGT-GWO,64,parallel,3.225583
F3,512,HGT-GWO,64,hybrid,3.185951
F3,1024,GWO,2,parallel,357.0162
F3,1024,GWO,2,hybrid,350.822306
F3,1024,GWO,4,parallel,174.00258
F3,1024,GWO,4,hybrid,174.315699
F3,1024,GWO,8,parallel,89.514263
F3,1024,GWO,8,hybrid,89.29248
F3,1024,GWO,16,parallel,43.292093
F3,1024,GWO,16,hybrid,43.433865
F3,1024,GWO,32,parallel,24.188514
F3,1024,GWO,32,hybrid,24.224547
F3,1024,GWO,64,parallel,12.443443
F3,1024,GWO,64,hybrid,12.572724
F3,1024,HGT-GWO,2,parallel,340.994696
F3,1024,HGT-GWO,2,hybrid,340.847899
F3,1024,HGT-GWO,4,parallel,169.050703
F3,1024,HGT-GWO,4,hybrid,169.402464
F3,1024,HGT-GWO,8,parallel,87.812715
F3,1024,HGT-GWO,8,hybrid,87.203731
F3,1024,HGT-GWO,16,parallel,41.985876
F3,1024,HGT-GWO,16,hybrid,41.856418
F3,1024,HGT-GWO,32,parallel,23.632438
F3,1024,HGT-GWO,32,hybrid,23.613822
F3,1024,HGT-GWO,64,parallel,12.177086
F3,1024,HGT-GWO,64,hybrid,11.999848
